url,tipo,etiqueta_html,alcance
https://cv.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8,enlace,<a href>,externa
https://cy.wikipedia.org/wiki/Wikipedia,enlace,<a href>,externa
https://cyber.harvard.edu/events/2017/luncheon/10/Maher,enlace,<a href>,externa
https://d-nb.info/gnd/7545251-0,enlace,<a href>,externa
https://da.wikipedia.org/wiki/Wikipedia,enlace,<a href>,externa
https://dag.wikipedia.org/wiki/Wikipidia,enlace,<a href>,externa
https://de.wikipedia.org/wiki/Wikipedia,enlace,<a href>,externa
https://developer.wikimedia.org,enlace,<a href>,externa
https://dialnet.unirioja.es/servlet/articulo?codigo=7690412,enlace,<a href>,externa
https://diarioti.com/wikipedia-es-demasiado-compleja/28521,enlace,<a href>,externa
https://din.wikipedia.org/wiki/Wikipedia,enlace,<a href>,externa
https://diq.wikipedia.org/wiki/Wikipediya,enlace,<a href>,externa
https://dl.acm.org/doi/abs/10.1145/1518701.1518930,enlace,<a href>,externa
https://documat.unirioja.es/servlet/tesis?codigo=253496,enlace,<a href>,externa
https://doi.org/10.1145/2145204.2145265,enlace,<a href>,externa
https://donate.wikimedia.org/?wmf_source=donate&wmf_medium=sidebar&wmf_campaign=es.wikipedia.org&uselang=es,enlace,<a href>,externa
https://dsb.wikipedia.org/wiki/Wikipedija,enlace,<a href>,externa
https://dtp.wikipedia.org/wiki/Wikipedia,enlace,<a href>,externa
https://dty.wikipedia.org/wiki/%E0%A4%B5%E0%A4%BF%E0%A4%95%E0%A4%BF%E0%A4%AA%E0%A4%BF%E0%A4%A1%E0%A4%BF%E0%A4%AF%E0%A4%BE,enlace,<a href>,externa
https://dv.wikipedia.org/wiki/%DE%88%DE%A9%DE%86%DE%A8%DE%95%DE%A9%DE%91%DE%A8%DE%87%DE%A7,enlace,<a href>,externa
https://dx.doi.org/10.1038%2F438900a,enlace,<a href>,externa
https://dx.doi.org/10.1038%2Fsj.bdj.2008.994,enlace,<a href>,externa
https://dx.doi.org/10.1145%2F1518701.1518930,enlace,<a href>,externa
https://dx.doi.org/10.1145%2F2145204.2145265,enlace,<a href>,externa
https://dx.doi.org/10.1145%2F2700171.2791036,enlace,<a href>,externa
https://dx.doi.org/10.1177%2F0196859913505618,enlace,<a href>,externa
https://dx.doi.org/10.1371%2Fjournal.pone.0228786,enlace,<a href>,externa
https://dx.doi.org/10.14712%2F18023061.569,enlace,<a href>,externa
https://dx.doi.org/10.2196%2F18076,enlace,<a href>,externa
https://dx.doi.org/10.7556%2Fjaoa.2014.035,enlace,<a href>,externa
https://dx.doi.org/10.7556%2Fjaoa.2014.066,enlace,<a href>,externa
https://dx.plos.org/10.1371/journal.pone.0228786,enlace,<a href>,externa
https://dz.wikipedia.org/wiki/%E0%BD%9D%E0%BD%B2%E0%BC%8B%E0%BD%80%E0%BD%B2%E0%BC%8B%E0%BD%94%E0%BD%B2%E0%BC%8B%E0%BD%8C%E0%BD%B2%E0%BC%8B%E0%BD%A1%E0%BC%8D,enlace,<a href>,externa
https://eciencia.urjc.es/handle/10115/11239,enlace,<a href>,externa
https://edition.cnn.com/2003/TECH/internet/08/03/wikipedia/index.html,enlace,<a href>,externa
https://eju.tv/2011/01/la-calumnia-como-estrategia-de-criminalizacin/,enlace,<a href>,externa
https://el.wikipedia.org/wiki/%CE%92%CE%B9%CE%BA%CE%B9%CF%80%CE%B1%CE%AF%CE%B4%CE%B5%CE%B9%CE%B1,enlace,<a href>,externa
https://eml.wikipedia.org/wiki/Wikipedia,enlace,<a href>,externa
https://en.wikipedia.org/w/index.php?title=Wikipedia:UuU&oldid=291430,enlace,<a href>,externa
https://en.wikipedia.org/w/index.php?title=Wikipedia_talk:Wikipe-tan&oldid=412515866,enlace,<a href>,externa
https://en.wikipedia.org/wiki/Special:Statistics,enlace,<a href>,externa
https://en.wikipedia.org/wiki/Wikipedia,enlace,<a href>,externa
https://en.wikipedia.org/wiki/Wikipedia:Copyrights,enlace,<a href>,externa
https://en.wikipedia.org/wiki/Wikipedia:Fair_use,enlace,<a href>,externa
https://en.wikipedia.org/wiki/Wikipedia:Multilingual_statistics,enlace,<a href>,externa
https://en.wikipedia.org/wiki/Wikipedia:UuU,enlace,<a href>,externa
https://en.wikipedia.org/wiki/Wikipedia:Wikipe-tan,enlace,<a href>,externa
https://en.wikipedia.org/wiki/Wikipedia?action=history,enlace,<a href>,externa
https://en.wiktionary.org/wiki/ES:manual,enlace,<a href>,externa
https://eo.wikipedia.org/wiki/Vikipedio,enlace,<a href>,externa
https://es.m.wikipedia.org/,enlace,<a href>,externa
https://es.wikipedia.org/w/index.php?title=Brecha_de_g%C3%A9nero_en_Wikipedia&action=edit,enlace,<a href>,interna
https://es.wikipedia.org/w/index.php?title=Categor%C3%ADa:P%C3%A1ginas_con_gr%C3%A1ficos&action=edit&redlink=1,enlace,<a href>,interna
https://es.wikipedia.org/w/index.php?title=Categor%C3%ADa:Pages_with_disabled_graphs&action=edit&redlink=1,enlace,<a href>,interna
https://es.wikipedia.org/w/index.php?title=Comunidad_de_Wikipedia&action=edit,enlace,<a href>,interna
https://es.wikipedia.org/w/index.php?title=Cr%C3%ADtica_a_Wikipedia&action=edit,enlace,<a href>,interna
https://es.wikipedia.org/w/index.php?title=Especial:Acortador_de_URL&url=https%3A%2F%2Fes.wikipedia.org%2Fwiki%2FWikipedia,enlace,<a href>,interna
https://es.wikipedia.org/w/index.php?title=Especial:Citar&page=Wikipedia&id=172966702&wpFormIdentifier=titleform,enlace,<a href>,interna
https://es.wikipedia.org/w/index.php?title=Especial:Crear_una_cuenta&returnto=Wikipedia,enlace,<a href>,interna
https://es.wikipedia.org/w/index.php?title=Especial:DownloadAsPdf&page=Wikipedia&action=show-download-screen,enlace,<a href>,interna
https://es.wikipedia.org/w/index.php?title=Especial:Entrar&returnto=Wikipedia,enlace,<a href>,interna
https://es.wikipedia.org/w/index.php?title=Especial:Libro&bookcmd=book_creator&referer=Wikipedia,enlace,<a href>,interna
https://es.wikipedia.org/w/index.php?title=Wikipedia&action=edit,enlace,<a href>,interna
https://es.wikipedia.org/w/index.php?title=Wikipedia&action=history,enlace,<a href>,interna
https://es.wikipedia.org/w/index.php?title=Wikipedia&action=info,enlace,<a href>,interna
https://es.wikipedia.org/w/index.php?title=Wikipedia&mobileaction=toggle_view_mobile,enlace,<a href>,interna
https://es.wikipedia.org/w/index.php?title=Wikipedia&oldid=172966702,enlace,<a href>,interna
https://es.wikipedia.org/w/index.php?title=Wikipedia&printable=yes,enlace,<a href>,interna
https://es.wikipedia.org/w/index.php?title=Wikipedia&useparsoid=0,enlace,<a href>,interna
https://es.wikipedia.org/w/index.php?title=Wikipedia:Cuenta_de_prop%C3%B3sito_particular,enlace,<a href>,interna
https://es.wikipedia.org/wiki/(274301)_Wikipedia,enlace,<a href>,interna
https://es.wikipedia.org/wiki/Agencia_EFE,enlace,<a href>,interna
https://es.wikipedia.org/wiki/Alejandro_Peña_Esclusa,enlace,<a href>,interna
